"Census Profile, 2021 Census of Population"
,,,"Vancouver, City (CY) [Census subdivision], British Columbia",,
,,,"Counts",,
"Topic","Characteristic","Note","Total","Total_Flag",
"Population and dwellings","Population, 2021",1,662248,"",
"Population and dwellings","Population, 2016",1,631486,"",
"Population and dwellings","Population percentage change, 2016 to 2021",,    4.9,"",
"Population and dwellings","Total private dwellings",2,328347,"",
"Population and dwellings","Private dwellings occupied by usual residents",3,305336,"",
"Population and dwellings","Population density per square kilometre",, 5749.9,"",
"Population and dwellings","Land area in square kilometres",,  115.18,"",
"Age characteristics","Total - Age groups of the population - 100% data",,662250,"",
"Age characteristics","  0 to 14 years",, 70570,"",
"Age characteristics","    0 to 4 years",, 23840,"",
"Age characteristics","    5 to 9 years",, 23070,"",
"Age characteristics","    10 to 14 years",, 23660,"",
"Age characteristics","  15 to 64 years",,478960,"",
"Age characteristics","    15 to 19 years",, 26315,"",
"Age characteristics","    20 to 24 years",, 43290,"",
"Age characteristics","    25 to 29 years",, 67155,"",
"Age characteristics","    30 to 34 years",, 69225,"",
"Age characteristics","    35 to 39 years",, 57330,"",
"Age characteristics","    40 to 44 years",, 45075,"",
"Age characteristics","    45 to 49 years",, 42045,"",
"Age characteristics","    50 to 54 years",, 44840,"",
"Age characteristics","    55 to 59 years",, 44360,"",
"Age characteristics","    60 to 64 years",, 39320,"",
"Age characteristics","  65 years and over",,112720,"",
"Age characteristics","    65 to 69 years",, 34590,"",
"Age characteristics","    70 to 74 years",, 30055,"",
"Age characteristics","    75 to 79 years",, 18520,"",
"Age characteristics","    80 to 84 years",, 13865,"",
"Age characteristics","    85 years and over",, 15695,"",
"Age characteristics","      85 to 89 years",,  9425,"",
"Age characteristics","      90 to 94 years",,  4685,"",
"Age characteristics","      95 to 99 years",,  1350,"",
"Age characteristics","      100 years and over",,   235,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",
"Age characteristics","  0 to 14 years",,   10.7,"",
"Age characteristics","  15 to 64 years",,   72.3,"",
"Age characteristics","  65 years and over",,   17.0,"",
"Age characteristics","    85 years and over",,    2.4,"",
"Age characteristics","Average age of the population",,   42.2,"",
"Age characteristics","Median age of the population",,   39.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",,305335,"",
"Household and dwelling characteristics","  Single-detached house",, 44750,"",
"Household and dwelling characteristics","  Semi-detached house",,  4800,"",
"Household and dwelling characteristics","  Row house",, 10815,"",
"Household and dwelling characteristics","  Apartment or flat in a duplex",, 54305,"",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",, 95120,"",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 94815,"",
"Household and dwelling characteristics","  Other single-attached house",,   695,"",
"Household and dwelling characteristics","  Movable dwelling",4,    20,"",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",,305335,"",
"Household and dwelling characteristics","  1 person",,119805,"",
"Household and dwelling characteristics","  2 persons",,100730,"",
"Household and dwelling characteristics","  3 persons",, 38600,"",
"Household and dwelling characteristics","  4 persons",, 29140,"",
"Household and dwelling characteristics","  5 or more persons",, 17060,"",
"Household and dwelling characteristics","Number of persons in private households",,650380,"",
"Household and dwelling characteristics","Average household size",,    2.1,"",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,591675,"",
"Marital status","  Married or living common-law",,298085,"",
"Marital status","    Married",,230735,"",
"Marital status","    Living common-law",, 67350,"",
"Marital status","      Living common law - Never married",, 57990,"",
"Marital status","      Living common law - Separated",,  1120,"",
"Marital status","      Living common law - Divorced",,  7740,"",
"Marital status","      Living common law - Widowed",,   500,"",
"Marital status","  Not married and not living common-law",,293585,"",
"Marital status","    Not married and not living common law - Never married",,218140,"",
"Marital status","    Not married and not living common law - Separated",, 13790,"",
"Marital status","    Not married and not living common law - Divorced",, 37675,"",
"Marital status","    Not married and not living common law - Widowed",, 23985,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5,168660,"",
"Family characteristics","  2 persons",, 96975,"",
"Family characteristics","  3 persons",, 35905,"",
"Family characteristics","  4 persons",, 28165,"",
"Family characteristics","  5 or more persons",,  7615,"",
"Family characteristics","Average size of census families",,    2.7,"",
"Family characteristics","Average number of children in census families with children",6,    1.6,"",
"Family characteristics","Total number of census families in private households - 100% data",,168660,"",
"Family characteristics","  Total couple families",,142595,"",
"Family characteristics","    Married couples",,108925,"",
"Family characteristics","      With children",6, 58130,"",
"Family characteristics","      Without children",, 50790,"",
"Family characteristics","    Common-law couples",, 33675,"",
"Family characteristics","      With children",6,  5370,"",
"Family characteristics","      Without children",, 28305,"",
"Family characteristics","  Total one-parent families",, 26060,"",
"Family characteristics","    in which the parent is a woman+",, 21285,"",
"Family characteristics","    in which the parent is a man+",,  4780,"",
"Family characteristics","Total - Persons in private households - 100% data",,650380,"",
"Family characteristics","  Total - Persons in census families",,454055,"",
"Family characteristics","    Married spouses or common-law partners",,285190,"",
"Family characteristics","    Parents in one-parent families",, 26065,"",
"Family characteristics","    Children",6,142800,"",
"Family characteristics","      In a two-parent family",,106565,"",
"Family characteristics","      In a one-parent family",, 36235,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",,196325,"",
"Family characteristics","    Living alone",,119805,"",
"Family characteristics","    Living with other relatives",7, 19650,"",
"Family characteristics","    Living with non-relatives only",, 56870,"",
"Household type","Total - Household type - 100% data",,305335,"",
"Household type","  One-census-family households without additional persons",,142375,"",
"Household type","    Couple-family households",,122210,"",
"Household type","      With children",6, 53125,"",
"Household type","      Without children",, 69085,"",
"Household type","    One-parent-family households",, 20160,"",
"Household type","  Multigenerational households",8,  8260,"",
"Household type","  Multiple-census-family households",9,  2030,"",
"Household type","  One-census-family households with additional persons",9,  9045,"",
"Household type","  Two-or-more-person non-census-family households ",, 23825,"",
"Household type","  One-person households",,119805,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,580010,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,563730,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 42000,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,564040,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 38000,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,508185,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 38800,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,415915,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 41200,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,454870,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8200,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 49505,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",,170155,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9500,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,580010,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,563600,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 62250,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,563910,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 50080,"",
