Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Net Intraprovincial,Net Total Migration
2001-2002,5900,British Columbia,38024,11958,3901,4925,8155,33197,47159,55715,-8556,0,24641
2001-2002,5910,Vancouver Island/Coast,1172,1729,687,710,811,231,10556,9563,993,1493,2717
2001-2002,5920,Mainland/Southwest,35844,8124,2607,3345,6739,33721,22061,25781,-3720,-2299,27702
2001-2002,5930,Thompson/Okanagan,627,1088,358,453,355,-201,7723,9110,-1387,4426,2838
2001-2002,5940,Kootenay,138,309,99,127,84,-115,2803,3767,-964,-616,-1695
2001-2002,5950,Cariboo,118,341,92,139,69,-201,1479,3241,-1762,-1368,-3331
2001-2002,5960,North Coast,39,160,14,67,41,-133,451,1049,-598,-1416,-2147
2001-2002,5970,Nechako,34,104,10,44,19,-85,372,776,-404,-570,-1059
2001-2002,5980,Northeast,52,103,34,40,37,-20,1714,2428,-714,350,-384
2002-2003,5900,British Columbia,31924,12837,4866,4923,6345,25375,48078,49115,-1037,0,24338
2002-2003,5910,Vancouver Island/Coast,1040,1664,713,650,637,76,11120,8532,2588,2172,4836
2002-2003,5920,Mainland/Southwest,29924,9338,3332,3571,5233,25580,21699,23075,-1376,-2791,21413
2002-2003,5930,Thompson/Okanagan,605,1117,443,424,278,-215,8429,7847,582,4299,4666
2002-2003,5940,Kootenay,109,328,117,128,67,-163,2681,3165,-484,-532,-1179
2002-2003,5950,Cariboo,153,184,139,70,54,92,1550,2806,-1256,-1696,-2860
2002-2003,5960,North Coast,38,46,62,18,32,68,478,1014,-536,-1222,-1690
2002-2003,5970,Nechako,22,80,24,30,15,-49,380,639,-259,-411,-719
2002-2003,5980,Northeast,33,80,36,32,29,-14,1741,2037,-296,181,-129
2003-2004,5900,British Columbia,36712,13987,4815,4923,2637,25254,50406,42541,7865,0,33119
2003-2004,5910,Vancouver Island/Coast,1447,1610,760,567,266,296,12095,7594,4501,2429,7226
2003-2004,5920,Mainland/Southwest,33947,10845,3407,3818,2175,24866,22424,19348,3076,-3635,24307
2003-2004,5930,Thompson/Okanagan,817,741,400,260,111,327,8943,7003,1940,3573,5840
2003-2004,5940,Kootenay,178,294,105,105,28,-88,2866,3059,-193,-572,-853
2003-2004,5950,Cariboo,117,169,60,59,23,-28,1563,2309,-746,-781,-1555
2003-2004,5960,North Coast,55,148,34,50,15,-94,493,840,-347,-973,-1414
2003-2004,5970,Nechako,44,65,40,24,6,1,394,549,-155,-220,-374
2003-2004,5980,Northeast,107,115,9,40,13,-26,1628,1839,-211,179,-58
2004-2005,5900,British Columbia,40577,12883,5678,4925,5711,34158,54280,46066,8214,0,42372
2004-2005,5910,Vancouver Island/Coast,1689,1573,930,610,563,999,12607,8130,4477,2301,7777
2004-2005,5920,Mainland/Southwest,37515,9839,3959,3747,4723,32611,24596,21231,3365,-4695,31281
2004-2005,5930,Thompson/Okanagan,836,875,501,340,250,372,9442,7381,2061,3643,6076
2004-2005,5940,Kootenay,160,272,123,105,58,-36,3218,3344,-126,55,-107
2004-2005,5950,Cariboo,217,171,96,65,49,126,1750,2339,-589,38,-425
2004-2005,5960,North Coast,53,53,20,19,29,30,534,820,-286,-1029,-1285
2004-2005,5970,Nechako,26,76,10,30,14,-56,430,603,-173,-532,-761
2004-2005,5980,Northeast,81,24,39,9,25,112,1703,2218,-515,219,-184
2005-2006,5900,British Columbia,43846,12296,6607,4926,4858,38089,53096,44296,8800,0,46889
2005-2006,5910,Vancouver Island/Coast,1851,1339,961,610,1690,2553,11521,8269,3252,1794,7599
2005-2006,5920,Mainland/Southwest,40343,9767,4806,3756,4439,36065,23927,20270,3657,-5009,34713
2005-2006,5930,Thompson/Okanagan,955,613,543,332,-744,-191,9458,7286,2172,3935,5916
2005-2006,5940,Kootenay,229,303,133,105,32,-14,3281,2994,287,-154,119
2005-2006,5950,Cariboo,225,138,102,64,-44,81,1983,2156,-173,105,13
2005-2006,5960,North Coast,94,48,28,19,-285,-230,452,734,-282,-814,-1326
2005-2006,5970,Nechako,55,28,19,31,-103,-88,394,514,-120,-280,-488
2005-2006,5980,Northeast,94,60,15,9,-127,-87,2080,2073,7,423,343
2006-2007,5900,British Columbia,37811,13259,6181,5798,8328,33263,58182,43177,15005,0,48268
2006-2007,5910,Vancouver Island/Coast,2051,1400,880,622,739,1648,12586,8310,4276,1984,7908
2006-2007,5920,Mainland/Southwest,33932,10554,4574,4606,6865,30211,25621,20680,4941,-4256,30896
2006-2007,5930,Thompson/Okanagan,1060,715,440,309,461,937,10884,6573,4311,3137,8385
2006-2007,5940,Kootenay,271,161,120,72,120,278,3883,2547,1336,10,1624
